[2025/07/05 14:45:55] POST /users 400  -  68.268 ms | Mongoos Error: user validation failed: image.alt: Path `alt` (``) is shorter than the minimum allowed length (2).
[2025/07/05 15:16:47] GET //cards 404  -  3.963 ms | Path not found
[2025/07/05 15:16:47] GET //cards 404  -  0.984 ms | Path not found
[2025/07/05 15:16:52] GET //cards 404  -  0.578 ms | Path not found
[2025/07/05 15:16:52] GET //cards 404  -  0.443 ms | Path not found
[2025/07/05 15:16:58] GET //cards 404  -  0.393 ms | Path not found
[2025/07/05 15:16:58] GET //cards 404  -  0.519 ms | Path not found
[2025/07/05 15:20:51] GET //cards 404  -  7.353 ms | Path not found
[2025/07/05 15:20:51] GET //cards 404  -  1.061 ms | Path not found
[2025/07/05 15:23:44] POST //users 404  -  0.595 ms | Path not found
